Post Date,Post Type,Campaign Type,Hashtags,Audience Emotion,Engagement Source,Impressions,Reach,Likes,Comments,Shares,Saves,Profile Visits,Follows
2024-12-23,Story,Giveaway,"#SugarCosmetics, #MakeupGoals, #BoldLooks",Curious,Collab,16795,15665,3076,430,73,99,193,86
2024-06-01,Image,Tutorial,"#BoldLooks, #MakeupGoals, #VeganBeauty",Confident,Influencer,45131,29335,5285,308,396,502,294,146
2024-04-28,Reel,Festive Offer,#VeganBeauty,Confident,Collab,18568,13118,2032,233,73,140,204,44
2025-02-01,Reel,Product Launch,"#CrueltyFree, #VeganBeauty, #SugarCosmetics",Happy,Collab,1189,751,130,13,12,7,33,12
2024-08-04,Story,Tutorial,"#SugarCosmetics, #VeganBeauty",Curious,Organic,15502,9373,2234,300,99,47,180,35
2024-07-23,Image,Product Launch,#SugarCosmetics,Happy,Paid,24483,15735,2345,129,215,95,574,128
2024-07-14,Reel,Product Launch,"#CrueltyFree, #SugarCosmetics",Happy,Influencer,12653,8512,1392,76,119,77,219,103
2024-06-12,Video,Festive Offer,#CrueltyFree,Excited,Influencer,33606,31006,2099,166,29,96,792,165
2025-01-30,Video,Festive Offer,"#SugarCosmetics, #VeganBeauty, #MakeupGoals",Inspired,Collab,10268,8269,2009,283,69,87,137,14
2024-05-29,Image,Festive Offer,"#MakeupGoals, #CrueltyFree",Happy,Organic,3568,3105,278,14,23,21,121,49
2025-01-07,Video,Festive Offer,"#MakeupGoals, #VeganBeauty",Happy,Collab,39660,36653,6605,1236,571,369,506,125
2025-01-31,Image,Product Launch,"#VeganBeauty, #MakeupGoals",Excited,Collab,12837,9163,1795,261,161,103,135,52
2025-03-31,Story,Tutorial,"#SugarCosmetics, #MakeupGoals, #BoldLooks",Inspired,Paid,18412,14664,2994,371,170,162,161,23
2024-11-17,Video,Product Launch,"#VeganBeauty, #BoldLooks, #MakeupGoals",Curious,Collab,49702,45403,6586,885,478,205,1551,490
2024-05-22,Image,Festive Offer,#VeganBeauty,Inspired,Influencer,34827,32389,5498,847,490,384,706,100
2024-12-04,Reel,Festive Offer,"#BoldLooks, #MakeupGoals",Inspired,Influencer,30467,26850,2344,431,137,198,1230,279
2024-09-30,Reel,Tutorial,"#CrueltyFree, #SugarCosmetics",Happy,Organic,24776,17225,3092,154,129,137,285,89
2024-05-01,Video,Influencer Collab,#CrueltyFree,Curious,Paid,4748,3999,415,35,10,15,129,33
2024-04-30,Image,Influencer Collab,"#SugarCosmetics, #CrueltyFree",Happy,Influencer,47576,32773,3256,502,241,103,1635,337
2024-05-25,Image,Festive Offer,"#SugarCosmetics, #BoldLooks",Curious,Paid,29673,23024,1388,127,127,54,363,107
2024-07-13,Story,Giveaway,"#SugarCosmetics, #VeganBeauty, #BoldLooks",Inspired,Organic,39559,31390,5290,328,228,208,1322,380
2024-07-18,Story,Festive Offer,"#SugarCosmetics, #BoldLooks, #MakeupGoals",Curious,Collab,41545,34138,5364,340,456,244,596,69
2024-11-01,Story,Tutorial,"#CrueltyFree, #SugarCosmetics, #VeganBeauty",Happy,Collab,3811,3190,170,21,5,12,54,20
2024-12-09,Story,Product Launch,"#SugarCosmetics, #BoldLooks, #MakeupGoals",Excited,Organic,6759,5280,1148,173,87,42,167,63
2024-04-29,Image,Festive Offer,"#MakeupGoals, #VeganBeauty, #CrueltyFree",Excited,Collab,17646,14663,3129,417,180,123,201,92
2024-11-23,Reel,Influencer Collab,#BoldLooks,Inspired,Organic,30855,25350,2986,305,224,274,1153,474
2024-07-05,Reel,Giveaway,"#CrueltyFree, #BoldLooks, #SugarCosmetics",Happy,Paid,13183,11836,2806,470,197,186,294,139
2025-01-22,Video,Tutorial,"#BoldLooks, #VeganBeauty, #CrueltyFree",Inspired,Collab,3200,1925,158,20,11,11,36,13
2024-12-27,Reel,Influencer Collab,"#VeganBeauty, #BoldLooks, #SugarCosmetics",Excited,Organic,24328,18802,1612,169,124,125,419,132
2025-01-16,Image,Giveaway,"#VeganBeauty, #SugarCosmetics",Happy,Influencer,42914,31271,3222,279,314,165,1428,503
2024-11-16,Video,Tutorial,"#SugarCosmetics, #BoldLooks",Confident,Influencer,49404,38333,6339,785,174,493,813,89
2024-09-29,Video,Tutorial,"#SugarCosmetics, #MakeupGoals",Confident,Collab,45080,27735,6903,831,242,625,1106,532
2024-07-13,Reel,Product Launch,#BoldLooks,Excited,Paid,4420,3314,806,156,69,35,84,36
2024-10-10,Video,Tutorial,"#MakeupGoals, #BoldLooks, #SugarCosmetics",Happy,Influencer,20778,13699,2210,420,160,144,190,65
2024-12-04,Story,Festive Offer,#CrueltyFree,Excited,Paid,12093,8773,884,83,34,77,135,51
2024-08-05,Video,Product Launch,"#MakeupGoals, #SugarCosmetics",Inspired,Paid,40974,28794,6100,1046,537,567,876,263
2025-02-27,Image,Product Launch,"#BoldLooks, #MakeupGoals, #VeganBeauty",Inspired,Influencer,5780,3861,247,27,3,22,42,13
